,Unnamed: 0,列1,refcode,Melting point_original,smiles,MP[K],MP[℃],note
2373,18988,18988,DOFGEK,189-190deg.C,CC(C)C1(C(C)C)C(C=C(c2ccccc2)c2ccccc2)C1(c1ccccc1)c1ccccc1,462.65,189.65,
2374,18989,18989,DOFGIO,457-459 K,Cc1cc(C)c(c(C)c1)C(=CC1C(C)(C)C1(c1ccccc1)c1ccccc1)c1c(C)cc(C)cc1C,458.0,185.0,
2375,18990,18990,DOFGOU,157-158deg.C,CC(C)C1(C)C(C=C(c2ccccc2)c2ccccc2)C1(c1ccccc1)c1ccccc1,430.65,157.65,
2376,19014,19014,DOGBIL,383-390 K,COC(=O)C1(OC(=O)CC1C1=CC=CO1)c1ccccc1,386.5,113.5,
2377,19019,19019,DOGCIM,383-384 K,Cc1ccc(cc1)C=C(C#Cc1ccc(C)cc1)C(=C)c1ccc(C)cc1,383.5,110.5,
2378,19033,19033,DOGMER,284-287deg.C(dec.),CC12CC(OC(=O)C1=CCC1(C)C2C2OC(=O)C1(O)C1OC21)C1=COC=C1,558.65,285.65,
2379,19041,19041,DOGQEW,406 K,COC(=O)C1=C(C2Oc3ccccc3C(=O)C2=CO1)C(=O)OC,406.0,133.0,
2380,19061,19061,DOHBOC,376-377 K,C1COCCOc2ccccc2OCCOCCOCCOc2ccccc2OCCO1,376.5,103.5,
2381,19069,19069,DOHGIQ,448-449 K,COc1c(O)cc(O)c2C(=O)C(=COc12)c1ccc(OCC=C(C)C)cc1,448.5,175.5,
2382,19070,19070,DOHHEN,386-387K,CC(C)C(=C)CCC(C)C1CCC2(C)C3CCC4C(C)(C)C(CCC54CC35CCC12C)OC(C)=O,386.5,113.5,
2383,19075,19075,DOHMAO,102-103deg.C,CC(C)C1CC=C(C)C2CCC(C)(CC(=O)CC(C)(O)C=C1)O2,375.65,102.65,
2384,19077,19077,DOHMOC,33-34deg.C,CC1C=CCC2C(CCC(=O)C12)C(C)(C)C,306.65,33.65,
2385,19085,19085,DOHROH,414-415 K,COC1OCC(C1Cc1ccc(O)c(OC)c1)C(OC)c1ccc(O)c(OC)c1,414.5,141.5,
2386,19109,19109,DOJCIP,419-421 K,Cc1ccc(OC23C4Oc5c(C)cc(C)cc5C4(C)C=C(C)C2(O)Oc2c(C)cc(C)cc32)c(C)c1,420.0,147.0,
2387,19121,19121,DOJFEN,86deg.C,OCc1ccccc1O,359.15,86.15,
